sample,chr,event,gene_name
500kb,chr1,AMP,['MTOR' 'PRDM2']
500kb,chr1,HETD,['SKI' 'TNFRSF14' 'RPL22' 'CAMTA1' 'PRDM16']
500kb,chr10,HETD,['KIF5B' 'ZEB1']
500kb,chr13,HETD,"['SOX21' 'LATS2' 'CDX2' 'CYSLTR2' 'ERCC5' 'ZMYM2' 'FLT3' 'BRCA2' 'LHFPL6'
 'FOXO1' 'RB1' 'NBEA' 'LCP1' 'GPC5']"
500kb,chr14,AMP,['TCL1A' 'DICER1' 'AKT1' 'TRIP11' 'GOLGA5' 'BCL11B' 'HSP90AA1']
500kb,chr18,HLAMP2,['SMAD4' 'KDSR' 'SS18' 'SETBP1' 'SMAD2' 'BCL2' 'DCC' 'MALT1' 'ZNF521']
500kb,chr19,AMP,"['FSTL3' 'CD209' 'LYL1' 'TCF3' 'GNA11' 'MAP2K2' 'SH3GL1' 'MLLT1' 'KEAP1'
 'CALR' 'PRKACA' 'DNAJB1' 'BRD4' 'TPM4' 'PIK3R2' 'STK11' 'VAV1' 'MUC16'
 'DNM2' 'SMARCA4' 'ELL' 'JAK3']"
500kb,chr19,HETD,"['CEBPA' 'BCL3' 'BCL2L12' 'TFPT' 'ZNF429' 'CCNE1' 'CD79A' 'CIC' 'CBLC'
 'BAX' 'POLD1' 'KLK2' 'PPP2R1A' 'ZNF331' 'CNOT3' 'CRTC1' 'ELL' 'CEP89'
 'LSM14A' 'AKT2' 'ERCC2' 'ARHGAP35']"
500kb,chr2,GAIN,"['PCBP1' 'CXCR4' 'HOXD11' 'FEV' 'MYCN' 'WDCP' 'SIX2' 'EPAS1' 'BCL11A'
 'REL' 'XPO1' 'DCTN1' 'TMEM127' 'RANBP2' 'HOXD13' 'CASP8' 'CD28' 'CREB1'
 'IDH1' 'BARD1' 'ATIC' 'ACSL3' 'NCOA1' 'ASXL2' 'DNMT3A' 'STRN' 'SOS1'
 'EML4' 'FBXO11' 'MSH2' 'MSH6' 'RGPD3' 'ERCC3' 'ACVR1' 'NFE2L2' 'COL3A1'
 'SF3B1' 'CUL3' 'ALK' 'BIRC6' 'CTNNA2' 'AFF3' 'PAX8' 'LRP1B' 'ACVR2A'
 'ITGAV' 'PMS1' 'ERBB4' 'PAX3']"
500kb,chr2,HETD,['ACKR3']
500kb,chr3,HETD,"['CCR4' 'BAP1' 'FOXL2' 'SOX2' 'EIF4A2' 'VHL' 'RAF1' 'MLH1' 'CTNNB1'
 'NCKIPSD' 'RHOA' 'TFG' 'GATA2' 'RPN1' 'CNBP' 'GMPS' 'ETV5' 'BCL6' 'MUC4'
 'TFRC' 'SRGAP3' 'FANCD2' 'PPARG' 'XPC' 'TGFBR2' 'MYD88' 'SETD2' 'PBRM1'
 'MITF' 'CBLB' 'GSK3B' 'POLQ' 'STAG1' 'PIK3CB' 'ATR' 'WWTR1' 'MLF1'
 'MECOM' 'PIK3CA' 'MAP3K13' 'IGF2BP2' 'MB21D2' 'FBLN2' 'CACNA1D' 'FHIT'
 'FOXP1' 'ROBO2' 'EPHA3' 'TBL1XR1' 'LPP' 'TP63']"
500kb,chr9,AMP,"['TAL2' 'KLF4' 'SET' 'RALGDS' 'BRD3' 'NOTCH1' 'TNC' 'CNTRL' 'PPP6C' 'ABL1'
 'NUP214' 'TSC1' 'RXRA' 'FNBP1']"
500kb,chr9,HETD,['OMD' 'PTCH1' 'XPA' 'NR4A3' 'GNAQ' 'SYK' 'WNK2' 'NTRK2' 'FANCC']
500kb,chrX,HETD,"['SSX4' 'SSX2' 'FOXO4' 'IRS4' 'DCAF12L2' 'ZRSR2' 'EIF1AX' 'FAM47C' 'DDX3X'
 'ARAF' 'SSX1' 'WAS' 'GATA1' 'TFE3' 'SMC1A' 'AMER1' 'MED12' 'NONO' 'ZMYM3'
 'BTK' 'ELF4' 'PHF6' 'ATP2B3' 'TMSB4X' 'BCOR' 'USP9X' 'KDM5C' 'MSN' 'AR'
 'SEPT6' 'STAG2' 'GPC3' 'KDM6A' 'RBM10' 'ATRX' 'BCORL1']"
50kb,chr1,AMP,['MTOR' 'PRDM2' 'CAMTA1']
