chr	event	gene_name	chr_conflict
chr9	AMP	ABL1	False
chr2	HETD	ACKR3	False
chr2	GAIN	ACSL3	False
chr2	GAIN	ACVR1	False
chr2	GAIN	ACVR2A	False
chr2	GAIN	AFF3	False
chr14	AMP	AKT1	False
chr2	GAIN	ALK	False
chrX	HETD	AMER1	False
chrX	HETD	AR	False
chrX	HETD	ARAF	False
chr19	HETD	ARHGAP35	False
chr2	GAIN	ASXL2	False
chr2	GAIN	ATIC	False
chrX	HETD	ATP2B3	False
chr3	HETD	ATR	False
chrX	HETD	ATRX	False
chr3	HETD	BAP1	False
chr2	GAIN	BARD1	False
chr19	HETD	BAX	False
chr2	GAIN	BCL11A	False
chr14	AMP,HLAMP2	BCL11B	False
chr18	HLAMP2	BCL2	False
chr19	HETD	BCL2L12	False
chr3	HETD	BCL6	False
chrX	HETD	BCOR	False
chrX	HETD	BCORL1	False
chr2	GAIN	BIRC6	False
chr13	HETD	BRCA2	False
chr9	AMP	BRD3	False
chr19	AMP	BRD4	False
chrX	HETD	BTK	False
chr3	HETD	CACNA1D	False
chr19	AMP	CALR	False
chr2	GAIN	CASP8	False
chr3	HETD	CBLB	False
chr3	HETD	CCR4	False
chr19	AMP	CD209	False
chr2	GAIN	CD28	False
chr13	HETD	CDX2	False
chr19	HETD	CIC	False
chr3	HETD	CNBP	False
chr19	HETD	CNOT3	False
chr9	AMP	CNTRL	False
chr2	GAIN	COL3A1	False
chr2	GAIN	CREB1	False
chr2	GAIN	CTNNA2	False
chr3	HETD	CTNNB1	False
chr2	GAIN	CUL3	False
chr2	GAIN	CXCR4	False
chr13	HETD	CYSLTR2	False
chrX	HETD	DCAF12L2	False
chr18	HLAMP2	DCC	False
chr2	GAIN	DCTN1	False
chrX	HETD	DDX3X	False
chr14	AMP	DICER1	False
chr19	AMP	DNAJB1	False
chr19	AMP	DNM2	False
chr2	GAIN	DNMT3A	False
chrX	HETD	EIF1AX	False
chr3	HETD	EIF4A2	False
chrX	HETD	ELF4	False
chr19	AMP,HETD	ELL	False
chr2	GAIN	EML4	False
chr2	GAIN	EPAS1	False
chr3	HETD	EPHA3	False
chr2	GAIN	ERBB4	False
chr19	HETD	ERCC2	False
chr2	GAIN	ERCC3	False
chr13	HETD	ERCC5	False
chr3	HETD	ETV5	False
chrX	HETD	FAM47C	False
chr9	HETD	FANCC	False
chr3	HETD	FANCD2	False
chr3	HETD	FBLN2	False
chr2	GAIN	FBXO11	False
chr2	GAIN	FEV	False
chr3	HETD	FHIT	False
chr13	HETD	FLT3	False
chr9	AMP,GAIN	FNBP1	False
chr3	HETD	FOXL2	False
chr13	HETD	FOXO1	False
chrX	HETD	FOXO4	False
chr3	HETD	FOXP1	False
chrX	HETD	GATA1	False
chr3	HETD	GATA2	False
chr3	HETD	GMPS	False
chr19	AMP	GNA11	False
chr9	HETD	GNAQ	False
chr14	AMP	GOLGA5	False
chrX	HETD	GPC3	False
chr13	HETD	GPC5	False
chr3	HETD	GSK3B	False
chr2	GAIN	HOXD11	False
chr2	GAIN	HOXD13	False
chr14	AMP	HSP90AA1	False
chr2	GAIN	IDH1	False
chr3	HETD	IGF2BP2	False
chrX	HETD	IRS4	False
chr2	GAIN	ITGAV	False
chr19	AMP	JAK3	False
chrX	HETD	KDM5C	False
chrX	HETD	KDM6A	False
chr18	HLAMP2	KDSR	False
chr19	AMP	KEAP1	False
chr10	HETD	KIF5B	False
chr9	AMP	KLF4	False
chr13	HETD	LATS2	False
chr13	HETD	LCP1	False
chr13	HETD	LHFPL6	False
chr3	HETD	LPP	False
chr2	GAIN	LRP1B	False
chr19	AMP	LYL1	False
chr18	HLAMP2	MALT1	False
chr19	AMP	MAP2K2	False
chr3	HETD	MAP3K13	False
chr3	HETD	MB21D2	False
chr3	HETD	MECOM	False
chrX	HETD	MED12	False
chr3	HETD	MITF	False
chr3	HETD	MLF1	False
chr3	HETD	MLH1	False
chr19	AMP	MLLT1	False
chr2	GAIN	MSH2	False
chr2	GAIN	MSH6	False
chrX	HETD	MSN	False
chr19	AMP	MUC16	False
chr3	HETD	MUC4	False
chr2	GAIN	MYCN	False
chr3	HETD	MYD88	False
chr13	HETD	NBEA	False
chr3	HETD	NCKIPSD	False
chr2	GAIN	NCOA1	False
chr2	GAIN	NFE2L2	False
chrX	HETD	NONO	False
chr9	AMP	NOTCH1	False
chr9	HETD	NR4A3	False
chr9	HETD	NTRK2	False
chr9	AMP	NUP214	False
chr9	HETD	OMD	False
chr2	GAIN	PAX3	False
chr2	GAIN	PAX8	False
chr3	HETD	PBRM1	False
chrX	HETD	PHF6	False
chr3	HETD	PIK3CA	False
chr3	HETD	PIK3CB	False
chr19	AMP,HETD	PIK3R2	False
chr2	GAIN	PMS1	False
chr3	HETD	POLQ	False
chr3	HETD	PPARG	False
chr9	AMP	PPP6C	False
chr19	AMP	PRKACA	False
chr9	HETD	PTCH1	False
chr3	HETD	RAF1	False
chr9	AMP	RALGDS	False
chr2	GAIN	RANBP2	False
chr13	HETD	RB1	False
chrX	HETD	RBM10	False
chr2	GAIN	REL	False
chr2	GAIN	RGPD3	False
chr3	HETD	RHOA	False
chr3	HETD	ROBO2	False
chr3	HETD	RPN1	False
chr9	AMP	RXRA	False
chrX	HETD	SEPT6	False
chr9	AMP	SET	False
chr18	HLAMP2	SETBP1	False
chr3	HETD	SETD2	False
chr2	GAIN	SF3B1	False
chr19	AMP	SH3GL1	False
chr2	GAIN	SIX2	False
chr18	HLAMP2	SMAD2	False
chr18	HLAMP2	SMAD4	False
chr19	AMP	SMARCA4	False
chrX	HETD	SMC1A	False
chr2	GAIN	SOS1	False
chr3	HETD	SOX2	False
chr13	HETD	SOX21	False
chr3	HETD	SRGAP3	False
chr18	HLAMP2	SS18	False
chrX	HETD	SSX1	False
chrX	HETD	SSX2	False
chrX	HETD	SSX4	False
chr3	HETD	STAG1	False
chrX	HETD	STAG2	False
chr19	AMP,GAIN	STK11	False
chr2	GAIN	STRN	False
chr9	HETD	SYK	False
chr9	AMP	TAL2	False
chr3	HETD	TBL1XR1	False
chr19	AMP,GAIN	TCF3	False
chr14	AMP,GAIN	TCL1A	False
chrX	HETD	TFE3	False
chr3	HETD	TFG	False
chr19	HETD	TFPT	False
chr3	HETD	TFRC	False
chr3	HETD	TGFBR2	False
chr2	GAIN	TMEM127	False
chrX	HETD	TMSB4X	False
chr9	AMP	TNC	False
chr3	HETD	TP63	False
chr19	AMP	TPM4	False
chr14	AMP	TRIP11	False
chr9	AMP	TSC1	False
chrX	HETD	USP9X	False
chr19	AMP	VAV1	False
chr3	HETD	VHL	False
chrX	HETD	WAS	False
chr2	GAIN	WDCP	False
chr9	HETD	WNK2	False
chr3	HETD	WWTR1	False
chr9	HETD	XPA	False
chr3	HETD	XPC	False
chr2	GAIN	XPO1	False
chr10	HETD	ZEB1	False
chr13	HETD	ZMYM2	False
chrX	HETD	ZMYM3	False
chr19	HETD	ZNF331	False
chr18	HLAMP2	ZNF521	False
chrX	HETD	ZRSR2	False
