chr	gene_name	events
chr1	ARNT	HETD
chr1	ATP1A1	HETD
chr1	BCL9	GAIN,HETD
chr1	MLLT11	HETD
chr1	NOTCH2	HETD
chr1	NRAS	HETD
chr1	PDE4DIP	GAIN,HETD
chr1	RBM15	HETD
chr1	SETDB1	HETD
chr1	TENT5C	HETD
chr1	TRIM33	HETD
chr19	AKT2	HETD
chr19	ARHGAP35	HETD
chr19	BAX	HETD
chr19	BCL2L12	HETD
chr19	BCL3	HETD
chr19	CALR	HETD
chr19	CBLC	HETD
chr19	CCNE1	GAIN,HETD
chr19	CD209	HETD
chr19	CD79A	GAIN,HETD
chr19	CEBPA	GAIN,HETD
chr19	CEP89	GAIN,HETD
chr19	CIC	GAIN,HETD
chr19	DNAJB1	HETD
chr19	DNM2	HETD
chr19	ELL	HETD
chr19	ERCC2	HETD
chr19	GNA11	HETD
chr19	JAK3	HETD
chr19	KEAP1	HETD
chr19	LSM14A	GAIN,HETD
chr19	LYL1	HETD
chr19	MAP2K2	HETD
chr19	PIK3R2	HETD
chr19	PRKACA	HETD
chr19	SH3GL1	HETD
chr19	SMARCA4	HETD
chr19	STK11	HETD
chr19	TCF3	HETD
chr19	VAV1	HETD
chr21	ERG	AMP,HLAMP2,HLAMP3
chr21	OLIG2	AMP,HLAMP2,HLAMP3
chr21	RUNX1	AMP,HLAMP3
chr21	TMPRSS2	AMP,HLAMP2,HLAMP3
chr21	U2AF1	AMP,HLAMP2,HLAMP3
chr4	FAT1	HETD
chr5	ACSL6	AMP,HLAMP3
chr5	AFF4	AMP,HLAMP,HLAMP3
chr5	APC	AMP,HLAMP2,HLAMP3
chr5	ARHGAP26	AMP,HLAMP2,HLAMP3
chr5	CD74	AMP,HLAMP3
chr5	CDH10	AMP,HLAMP,HLAMP2
chr5	CSF1R	AMP,HLAMP2,HLAMP3
chr5	CTNNA1	AMP,HLAMP2,HLAMP3
chr5	CTNND2	AMP,HLAMP2,HLAMP3
chr5	DROSHA	AMP,HLAMP2,HLAMP3
chr5	EBF1	AMP,HLAMP3
chr5	FGFR4	AMP,HLAMP,HLAMP3
chr5	FLT4	AMP,HLAMP2,HLAMP3
chr5	GOLPH3	AMP,HLAMP2,HLAMP3
chr5	IL6ST	AMP,HLAMP2,HLAMP3
chr5	IL7R	AMP,HLAMP2,HLAMP3
chr5	ITK	AMP,HLAMP2,HLAMP3
chr5	LIFR	AMP,HLAMP2,HLAMP3
chr5	MAP3K1	AMP,HLAMP,HLAMP3
chr5	NPM1	AMP,HLAMP3
chr5	NSD1	AMP,HLAMP,HLAMP3
chr5	PDGFRB	AMP,HLAMP3
chr5	PIK3R1	AMP,HLAMP2,HLAMP3
chr5	PWWP2A	AMP,HLAMP2,HLAMP3
chr5	RAD17	AMP,HLAMP,HLAMP3
chr5	RAD50	AMP,HLAMP3
chr5	RASA1	AMP,HLAMP2,HLAMP3
chr5	RICTOR	AMP,HLAMP2,HLAMP3
chr5	SUB1	AMP,HLAMP2,HLAMP3
chr5	TERT	AMP,HLAMP2,HLAMP3
chr5	TLX3	AMP,HLAMP3
chrX	AMER1	HETD
chrX	AR	HETD
chrX	ARAF	HETD
chrX	ATP2B3	HETD
chrX	ATRX	HETD
chrX	BCOR	HETD
chrX	BCORL1	HETD
chrX	BTK	HETD
chrX	DCAF12L2	HETD
chrX	DDX3X	HETD
chrX	EIF1AX	HETD
chrX	ELF4	HETD
chrX	FAM47C	HETD
chrX	FOXO4	HETD
chrX	GATA1	HETD
chrX	GPC3	HETD
chrX	IRS4	HETD
chrX	KDM5C	HETD
chrX	KDM6A	HETD
chrX	MED12	HETD
chrX	MSN	HETD
chrX	NONO	HETD
chrX	PHF6	HETD
chrX	RBM10	HETD
chrX	SEPT6	HETD
chrX	SMC1A	HETD
chrX	SSX1	HETD
chrX	SSX2	HETD
chrX	SSX4	HETD
chrX	STAG2	HETD
chrX	TFE3	HETD
chrX	TMSB4X	HETD
chrX	USP9X	HETD
chrX	WAS	HETD
chrX	ZMYM3	HETD
chrX	ZRSR2	HETD
