chr	event	gene_name	chr_conflict
chr5	AMP,HLAMP3	ACSL6	False
chr5	AMP,HLAMP,HLAMP3	AFF4	False
chr19	HETD	AKT2	False
chrX	HETD	AMER1	False
chr5	AMP,HLAMP2,HLAMP3	APC	False
chrX	HETD	AR	False
chrX	HETD	ARAF	False
chr5	AMP,HLAMP2,HLAMP3	ARHGAP26	False
chr19	HETD	ARHGAP35	False
chr1	HETD	ARNT	False
chr1	HETD	ATP1A1	False
chrX	HETD	ATP2B3	False
chrX	HETD	ATRX	False
chr19	HETD	BAX	False
chr19	HETD	BCL2L12	False
chr19	HETD	BCL3	False
chr1	GAIN,HETD	BCL9	False
chrX	HETD	BCOR	False
chrX	HETD	BCORL1	False
chrX	HETD	BTK	False
chr19	HETD	CALR	False
chr19	HETD	CBLC	False
chr19	GAIN,HETD	CCNE1	False
chr19	HETD	CD209	False
chr5	AMP,HLAMP3	CD74	False
chr19	GAIN,HETD	CD79A	False
chr5	AMP,HLAMP,HLAMP2	CDH10	False
chr19	GAIN,HETD	CEBPA	False
chr19	GAIN,HETD	CEP89	False
chr19	GAIN,HETD	CIC	False
chr5	AMP,HLAMP2,HLAMP3	CSF1R	False
chr5	AMP,HLAMP2,HLAMP3	CTNNA1	False
chr5	AMP,HLAMP2,HLAMP3	CTNND2	False
chrX	HETD	DCAF12L2	False
chrX	HETD	DDX3X	False
chr19	HETD	DNAJB1	False
chr19	HETD	DNM2	False
chr5	AMP,HLAMP2,HLAMP3	DROSHA	False
chr5	AMP,HLAMP3	EBF1	False
chrX	HETD	EIF1AX	False
chrX	HETD	ELF4	False
chr19	HETD	ELL	False
chr19	HETD	ERCC2	False
chr21	AMP,HLAMP2,HLAMP3	ERG	False
chrX	HETD	FAM47C	False
chr4	HETD	FAT1	False
chr5	AMP,HLAMP,HLAMP3	FGFR4	False
chr5	AMP,HLAMP2,HLAMP3	FLT4	False
chrX	HETD	FOXO4	False
chrX	HETD	GATA1	False
chr19	HETD	GNA11	False
chr5	AMP,HLAMP2,HLAMP3	GOLPH3	False
chrX	HETD	GPC3	False
chr5	AMP,HLAMP2,HLAMP3	IL6ST	False
chr5	AMP,HLAMP2,HLAMP3	IL7R	False
chrX	HETD	IRS4	False
chr5	AMP,HLAMP2,HLAMP3	ITK	False
chr19	HETD	JAK3	False
chrX	HETD	KDM5C	False
chrX	HETD	KDM6A	False
chr19	HETD	KEAP1	False
chr5	AMP,HLAMP2,HLAMP3	LIFR	False
chr19	GAIN,HETD	LSM14A	False
chr19	HETD	LYL1	False
chr19	HETD	MAP2K2	False
chr5	AMP,HLAMP,HLAMP3	MAP3K1	False
chrX	HETD	MED12	False
chr1	HETD	MLLT11	False
chrX	HETD	MSN	False
chrX	HETD	NONO	False
chr1	HETD	NOTCH2	False
chr5	AMP,HLAMP3	NPM1	False
chr1	HETD	NRAS	False
chr5	AMP,HLAMP,HLAMP3	NSD1	False
chr21	AMP,HLAMP2,HLAMP3	OLIG2	False
chr1	GAIN,HETD	PDE4DIP	False
chr5	AMP,HLAMP3	PDGFRB	False
chrX	HETD	PHF6	False
chr5	AMP,HLAMP2,HLAMP3	PIK3R1	False
chr19	HETD	PIK3R2	False
chr19	HETD	PRKACA	False
chr5	AMP,HLAMP2,HLAMP3	PWWP2A	False
chr5	AMP,HLAMP,HLAMP3	RAD17	False
chr5	AMP,HLAMP3	RAD50	False
chr5	AMP,HLAMP2,HLAMP3	RASA1	False
chrX	HETD	RBM10	False
chr1	HETD	RBM15	False
chr5	AMP,HLAMP2,HLAMP3	RICTOR	False
chr21	AMP,HLAMP3	RUNX1	False
chrX	HETD	SEPT6	False
chr1	HETD	SETDB1	False
chr19	HETD	SH3GL1	False
chr19	HETD	SMARCA4	False
chrX	HETD	SMC1A	False
chrX	HETD	SSX1	False
chrX	HETD	SSX2	False
chrX	HETD	SSX4	False
chrX	HETD	STAG2	False
chr19	HETD	STK11	False
chr5	AMP,HLAMP2,HLAMP3	SUB1	False
chr19	HETD	TCF3	False
chr1	HETD	TENT5C	False
chr5	AMP,HLAMP2,HLAMP3	TERT	False
chrX	HETD	TFE3	False
chr5	AMP,HLAMP3	TLX3	False
chr21	AMP,HLAMP2,HLAMP3	TMPRSS2	False
chrX	HETD	TMSB4X	False
chr1	HETD	TRIM33	False
chr21	AMP,HLAMP2,HLAMP3	U2AF1	False
chrX	HETD	USP9X	False
chr19	HETD	VAV1	False
chrX	HETD	WAS	False
chrX	HETD	ZMYM3	False
chrX	HETD	ZRSR2	False
