chr	event	gene_name
chr1	HETD	ARNT
chr1	HETD	ATP1A1
chr1	HETD	MLLT11
chr1	HETD	NOTCH2
chr1	HETD	NRAS
chr1	HETD	RBM15
chr1	HETD	SETDB1
chr1	HETD	TENT5C
chr1	HETD	TRIM33
chr19	HETD	AKT2
chr19	HETD	ARHGAP35
chr19	HETD	BAX
chr19	HETD	BCL2L12
chr19	HETD	BCL3
chr19	HETD	CALR
chr19	HETD	CBLC
chr19	HETD	CD209
chr19	HETD	DNAJB1
chr19	HETD	DNM2
chr19	HETD	ELL
chr19	HETD	ERCC2
chr19	HETD	GNA11
chr19	HETD	JAK3
chr19	HETD	KEAP1
chr19	HETD	LYL1
chr19	HETD	MAP2K2
chr19	HETD	PIK3R2
chr19	HETD	PRKACA
chr19	HETD	SH3GL1
chr19	HETD	SMARCA4
chr19	HETD	STK11
chr19	HETD	TCF3
chr19	HETD	VAV1
chr4	HETD	FAT1
chrX	HETD	AMER1
chrX	HETD	AR
chrX	HETD	ARAF
chrX	HETD	ATP2B3
chrX	HETD	ATRX
chrX	HETD	BCOR
chrX	HETD	BCORL1
chrX	HETD	BTK
chrX	HETD	DCAF12L2
chrX	HETD	DDX3X
chrX	HETD	EIF1AX
chrX	HETD	ELF4
chrX	HETD	FAM47C
chrX	HETD	FOXO4
chrX	HETD	GATA1
chrX	HETD	GPC3
chrX	HETD	IRS4
chrX	HETD	KDM5C
chrX	HETD	KDM6A
chrX	HETD	MED12
chrX	HETD	MSN
chrX	HETD	NONO
chrX	HETD	PHF6
chrX	HETD	RBM10
chrX	HETD	SEPT6
chrX	HETD	SMC1A
chrX	HETD	SSX1
chrX	HETD	SSX2
chrX	HETD	SSX4
chrX	HETD	STAG2
chrX	HETD	TFE3
chrX	HETD	TMSB4X
chrX	HETD	USP9X
chrX	HETD	WAS
chrX	HETD	ZMYM3
chrX	HETD	ZRSR2
