sample,chr,event,gene_name
10kb,chr1,GAIN,"['SKI' 'TNFRSF14' 'RPL22' 'PRDM16' 'CAMTA1' 'MTOR' 'PRDM2' 'ARHGEF10L'
 'PAX7' 'CSF3R' 'MYCL' 'MPL' 'TAL1' 'JUN' 'BCL9' 'PDE4DIP' 'S100A7'
 'NTRK1' 'FCRL4' 'PRCC' 'DDR2' 'PBX1' 'PRRX1' 'BTG2' 'MDM4' 'ELK4'
 'SLC45A3']"
10kb,chr1,HETD,"['ARID1A' 'LCK' 'THRAP3' 'CSF3R' 'STIL' 'NRAS' 'RBM15' 'TENT5C' 'TRIM33'
 'NOTCH2' 'ATP1A1' 'SETDB1' 'MLLT11' 'ARNT' 'TPM3' 'LMNA' 'MUC1' 'PRCC'
 'PTPRC']"
10kb,chr10,GAIN,"['KLF6' 'RET' 'NCOA4' 'PRF1' 'NUTM2B' 'NUTM2D' 'BMPR1A' 'PTEN' 'FAS'
 'CYP2C8' 'TLX1' 'TCF7L2' 'VTI1A' 'FGFR2']"
10kb,chr10,HETD,['TET1' 'CPEB3' 'NFKB2' 'SUFU' 'NT5C2']
10kb,chr11,GAIN,"['MUC6' 'NUP98' 'CARS' 'LMO1' 'RRAS2' 'MYOD1' 'LMO2' 'FEN1' 'SDHAF2'
 'CTNND1' 'NUMA1' 'EED' 'PICALM' 'FAT3' 'DDX10' 'POU2AF1' 'ZBTB16'
 'ARHGEF12' 'KCNJ5' 'FLI1']"
10kb,chr11,HETD,"['HRAS' 'NUP98' 'DDB2' 'CLP1' 'CTNND1' 'MEN1' 'MALAT1' 'PAFAH1B2' 'BCL9L'
 'FOXR1' 'CBL' 'DDX6']"
10kb,chr12,GAIN,"['KDM5A' 'ERC1' 'CCND2' 'CDKN1B' 'ETV6' 'KRAS' 'PPFIBP1' 'COL2A1' 'ACVR1B'
 'HOXC13' 'HOXC11' 'LRIG3' 'WIF1' 'HMGA2' 'BTG1' 'PTPN11' 'NCOR2']"
10kb,chr12,HETD,"['ERC1' 'CHD4' 'PTPN6' 'ZNF384' 'SMARCD1' 'ATF1' 'NACA' 'ERBB3' 'NAB2'
 'GLI1' 'DDIT3' 'STAT6' 'RAP1B' 'MDM2' 'SH2B3' 'PTPN11' 'SETD1B' 'ZCCHC8'
 'HNF1A' 'BCL7A' 'CLIP1']"
10kb,chr13,GAIN,['LHFPL6' 'FOXO1' 'CYSLTR2' 'RB1']
10kb,chr13,HETD,['ZMYM2' 'FOXO1']
10kb,chr14,GAIN,"['ARHGAP5' 'NKX2-1' 'HIF1A' 'MAX' 'RAD51B' 'GOLGA5' 'TCL1A' 'DICER1'
 'BCL11B']"
10kb,chr14,HETD,['BAZ1A']
10kb,chr15,GAIN,['NUTM1' 'BUB1B' 'KNSTRN' 'MYO5A' 'SMAD3' 'PML' 'NTRK3' 'CHD2']
10kb,chr15,HETD,['RAD51' 'KNL1' 'B2M' 'USP8' 'C15orf65' 'MAP2K1' 'CHD2']
10kb,chr16,GAIN,"['SOCS1' 'GRIN2A' 'CIITA' 'RMI2' 'ERCC4' 'SNX29' 'IL21R' 'CYLD' 'CDH1'
 'MAF' 'CBFA2T3']"
10kb,chr16,HETD,"['AXIN1' 'NTHL1' 'TSC2' 'TRAF7' 'TNFRSF17' 'SNX29' 'PALB2' 'FUS' 'CTCF'
 'FANCA']"
10kb,chr17,GAIN,"['FLCN' 'RAD51D' 'TAF15' 'MLLT6' 'CCR7' 'SMARCE1' 'ETV4' 'COL1A1' 'KAT7'
 'SPOP' 'RNF43' 'HLF' 'MSI2' 'BRIP1' 'AXIN2' 'PRKAR1A' 'CANT1' 'RNF213']"
10kb,chr17,HETD,"['YWHAE' 'USP6' 'RABEP1' 'POLR2A' 'TP53' 'PER1' 'NCOR1' 'RAD51D' 'LASP1'
 'CDK12' 'RARA' 'ERBB2' 'IKZF3' 'STAT3' 'STAT5B' 'CLTC' 'BRIP1' 'H3F3B'
 'RNF213' 'ASPSCR1']"
10kb,chr18,GAIN,['SETBP1' 'SMAD2' 'DCC' 'MALT1' 'BCL2']
10kb,chr18,HETD,['KDSR' 'BCL2']
10kb,chr19,GAIN,['CCNE1' 'CEBPA' 'CD79A' 'KLK2']
10kb,chr19,HETD,"['FSTL3' 'TCF3' 'GNA11' 'MAP2K2' 'SH3GL1' 'STK11' 'CD209' 'VAV1' 'KEAP1'
 'DNM2' 'SMARCA4' 'LYL1' 'CALR' 'PRKACA' 'DNAJB1' 'PIK3R2' 'ELL' 'JAK3'
 'CEP89' 'LSM14A' 'AKT2' 'CIC' 'BCL3' 'CBLC' 'ERCC2' 'BAX' 'ARHGAP35'
 'BCL2L12']"
10kb,chr2,GAIN,"['ALK' 'STRN' 'SIX2' 'EPAS1' 'MSH2' 'MSH6' 'BCL11A' 'DCTN1' 'TMEM127'
 'AFF3' 'RGPD3' 'ERCC3' 'CXCR4' 'ACVR2A' 'HOXD11' 'HOXD13' 'NFE2L2' 'FEV'
 'ACKR3']"
10kb,chr2,HETD,"['BIRC6' 'STRN' 'FBXO11' 'MSH6' 'REL' 'XPO1' 'PCBP1' 'RANBP2' 'SF3B1'
 'CASP8' 'CREB1']"
10kb,chr20,GAIN,['SIRPA' 'MAFB' 'TOP1' 'SRC' 'PLCG1' 'PTPRT' 'SDC4' 'NFATC2' 'GNAS']
10kb,chr20,HETD,['PTK6']
10kb,chr21,HLAMP2,['OLIG2' 'TMPRSS2' 'U2AF1' 'ERG']
10kb,chr21,HLAMP3,['RUNX1']
10kb,chr22,GAIN,['SEPT5' 'DGCR8' 'CLTCL1' 'BCR' 'MN1' 'EWSR1' 'ZNRF3' 'NF2' 'ISX']
10kb,chr22,HETD,['CHEK2' 'PATZ1' 'MYH9']
10kb,chr3,GAIN,"['SRGAP3' 'RAF1' 'PPARG' 'XPC' 'FBLN2' 'TGFBR2' 'CTNNB1' 'MYD88' 'BAP1'
 'CACNA1D' 'FHIT' 'GATA2' 'RPN1' 'EIF4A2' 'ETV5' 'BCL6' 'LPP' 'TP63']"
10kb,chr3,HETD,"['VHL' 'FANCD2' 'TGFBR2' 'RHOA' 'CNBP' 'STAG1' 'FOXL2' 'PIK3CB' 'TBL1XR1'
 'TFRC']"
10kb,chr4,GAIN,['RAP1GDS1' 'IL2' 'FBXW7']
10kb,chr4,HETD,['N4BP2' 'FAT1']
10kb,chr5,HLAMP,['CDH10' 'MAP3K1' 'RAD17' 'AFF4' 'FGFR4' 'NSD1']
10kb,chr5,HLAMP2,"['SDHA' 'TERT' 'CTNND2' 'GOLPH3' 'SUB1' 'IL7R' 'LIFR' 'RICTOR' 'IL6ST'
 'DROSHA' 'PIK3R1' 'RASA1' 'APC' 'CTNNA1' 'ARHGAP26' 'CSF1R' 'ITK'
 'PWWP2A' 'FLT4']"
10kb,chr5,HLAMP3,['ACSL6' 'RAD50' 'PDGFRB' 'CD74' 'CSF1R' 'EBF1' 'NPM1' 'TLX3']
10kb,chr6,GAIN,"['IRF4' 'HLA-A' 'POU5F1' 'FANCE' 'CDKN1A' 'TFEB' 'NFKBIE' 'HSP90AB1'
 'PRDM1' 'ROS1' 'GOPC' 'MYB' 'TNFAIP3' 'EZR' 'ARID1B']"
10kb,chr6,HETD,['HIST1H3B' 'DAXX' 'HMGA1' 'SRSF3' 'CCND3' 'CCNC' 'LATS1' 'ARID1B' 'QKI']
10kb,chr7,GAIN,['SFRP4' 'IKZF1' 'EGFR' 'ELN' 'SND1' 'FAM131B']
10kb,chr7,HETD,['PMS2' 'RAC1' 'TNRC18' 'ETV1' 'ELN' 'GTF2I' 'HIP1' 'CNTNAP2' 'MNX1']
10kb,chr8,GAIN,"['LEPROTL1' 'CHCHD7' 'PLAG1' 'PABPC1' 'COX6C' 'RAD21' 'MYC' 'NDRG1'
 'FAM135B']"
10kb,chr8,HETD,['FGFR1' 'NSD3' 'UBR5' 'RECQL4' 'PLEC']
10kb,chr9,GAIN,"['CDKN2A' 'MLLT3' 'FANCG' 'PAX5' 'NTRK2' 'SYK' 'PTCH1' 'WNK2' 'FANCC'
 'XPA' 'NR4A3' 'TNC' 'ABL1' 'NUP214' 'RALGDS' 'BRD3' 'TSC1' 'RXRA']"
10kb,chr9,HETD,['PPP6C' 'SET' 'FNBP1' 'NUP214']
10kb,chrX,HETD,"['SSX4' 'SSX2' 'FOXO4' 'IRS4' 'DCAF12L2' 'ZRSR2' 'EIF1AX' 'FAM47C' 'DDX3X'
 'ARAF' 'SSX1' 'WAS' 'GATA1' 'TFE3' 'SMC1A' 'AMER1' 'MED12' 'NONO' 'ZMYM3'
 'BTK' 'ELF4' 'PHF6' 'ATP2B3' 'FLNA' 'MTCP1' 'TMSB4X' 'BCOR' 'USP9X'
 'KDM5C' 'MSN' 'AR' 'SEPT6' 'STAG2' 'GPC3' 'RPL10' 'KDM6A' 'RBM10' 'ATRX'
 'BCORL1']"
500kb,chr1,HETD,"['NRAS' 'RBM15' 'TENT5C' 'SETDB1' 'MLLT11' 'TRIM33' 'NOTCH2' 'BCL9' 'ARNT'
 'ATP1A1' 'PDE4DIP']"
500kb,chr19,HETD,"['FSTL3' 'CD209' 'LYL1' 'CEBPA' 'BCL3' 'BCL2L12' 'TFPT' 'TCF3' 'GNA11'
 'MAP2K2' 'SH3GL1' 'MLLT1' 'KEAP1' 'CALR' 'PRKACA' 'DNAJB1' 'BRD4' 'TPM4'
 'PIK3R2' 'ZNF429' 'CCNE1' 'CD79A' 'CIC' 'CBLC' 'BAX' 'POLD1' 'KLK2'
 'PPP2R1A' 'ZNF331' 'CNOT3' 'STK11' 'VAV1' 'MUC16' 'DNM2' 'SMARCA4'
 'CRTC1' 'ELL' 'CEP89' 'LSM14A' 'AKT2' 'ERCC2' 'ARHGAP35' 'JAK3']"
500kb,chr21,AMP,['OLIG2' 'TMPRSS2' 'U2AF1' 'ERG' 'RUNX1']
500kb,chr4,HETD,['CASP3' 'FAT1']
500kb,chr5,AMP,"['TERT' 'GOLPH3' 'SUB1' 'IL7R' 'RAD17' 'PDGFRB' 'CD74' 'PWWP2A' 'NPM1'
 'FGFR4' 'CDH10' 'LIFR' 'RICTOR' 'IL6ST' 'MAP3K1' 'PIK3R1' 'RASA1' 'APC'
 'ACSL6' 'AFF4' 'RAD50' 'CTNNA1' 'ARHGAP26' 'CSF1R' 'ITK' 'EBF1' 'TLX3'
 'FLT4' 'CTNND2' 'DROSHA' 'NSD1']"
