patient	chr	event	count
MMS	chr1	GAIN	2
MMS	chr1	HETD	11
MMS	chr19	GAIN	6
MMS	chr19	HETD	30
MMS	chr21	AMP	5
MMS	chr21	HLAMP2	4
MMS	chr21	HLAMP3	5
MMS	chr4	HETD	1
MMS	chr5	AMP	31
MMS	chr5	HLAMP	6
MMS	chr5	HLAMP2	19
MMS	chr5	HLAMP3	30
MMS	chrX	HETD	36
RDV	chr10	HETD	2
RDV	chr13	HETD	14
RDV	chr14	AMP	7
RDV	chr14	GAIN	1
RDV	chr14	HLAMP2	1
RDV	chr18	HLAMP2	9
RDV	chr19	AMP	21
RDV	chr19	GAIN	2
RDV	chr19	HETD	10
RDV	chr2	GAIN	48
RDV	chr2	HETD	1
RDV	chr3	HETD	51
RDV	chr9	AMP	14
RDV	chr9	GAIN	1
RDV	chr9	HETD	9
RDV	chrX	HETD	36
