chr	gene_name	events
chr10	KIF5B	HETD
chr10	ZEB1	HETD
chr13	BRCA2	HETD
chr13	CDX2	HETD
chr13	CYSLTR2	HETD
chr13	ERCC5	HETD
chr13	FLT3	HETD
chr13	FOXO1	HETD
chr13	GPC5	HETD
chr13	LATS2	HETD
chr13	LCP1	HETD
chr13	LHFPL6	HETD
chr13	NBEA	HETD
chr13	RB1	HETD
chr13	SOX21	HETD
chr13	ZMYM2	HETD
chr14	AKT1	AMP
chr14	BCL11B	AMP,HLAMP2
chr14	DICER1	AMP
chr14	GOLGA5	AMP
chr14	HSP90AA1	AMP
chr14	TCL1A	AMP,GAIN
chr14	TRIP11	AMP
chr18	BCL2	HLAMP2
chr18	DCC	HLAMP2
chr18	KDSR	HLAMP2
chr18	MALT1	HLAMP2
chr18	SETBP1	HLAMP2
chr18	SMAD2	HLAMP2
chr18	SMAD4	HLAMP2
chr18	SS18	HLAMP2
chr18	ZNF521	HLAMP2
chr19	ARHGAP35	HETD
chr19	BAX	HETD
chr19	BCL2L12	HETD
chr19	BRD4	AMP
chr19	CALR	AMP
chr19	CD209	AMP
chr19	CIC	HETD
chr19	CNOT3	HETD
chr19	DNAJB1	AMP
chr19	DNM2	AMP
chr19	ELL	AMP,HETD
chr19	ERCC2	HETD
chr19	GNA11	AMP
chr19	JAK3	AMP
chr19	KEAP1	AMP
chr19	LYL1	AMP
chr19	MAP2K2	AMP
chr19	MLLT1	AMP
chr19	MUC16	AMP
chr19	PIK3R2	AMP,HETD
chr19	PRKACA	AMP
chr19	SH3GL1	AMP
chr19	SMARCA4	AMP
chr19	STK11	AMP,GAIN
chr19	TCF3	AMP,GAIN
chr19	TFPT	HETD
chr19	TPM4	AMP
chr19	VAV1	AMP
chr19	ZNF331	HETD
chr2	ACKR3	HETD
chr2	ACSL3	GAIN
chr2	ACVR1	GAIN
chr2	ACVR2A	GAIN
chr2	AFF3	GAIN
chr2	ALK	GAIN
chr2	ASXL2	GAIN
chr2	ATIC	GAIN
chr2	BARD1	GAIN
chr2	BCL11A	GAIN
chr2	BIRC6	GAIN
chr2	CASP8	GAIN
chr2	CD28	GAIN
chr2	COL3A1	GAIN
chr2	CREB1	GAIN
chr2	CTNNA2	GAIN
chr2	CUL3	GAIN
chr2	CXCR4	GAIN
chr2	DCTN1	GAIN
chr2	DNMT3A	GAIN
chr2	EML4	GAIN
chr2	EPAS1	GAIN
chr2	ERBB4	GAIN
chr2	ERCC3	GAIN
