sample,chr,event,gene_name
MMS,chr1,GAIN,"['SKI' 'TNFRSF14' 'RPL22' 'PRDM16' 'CAMTA1' 'MTOR' 'PRDM2' 'ARHGEF10L'
 'PAX7' 'CSF3R' 'MYCL' 'MPL' 'TAL1' 'JUN' 'BCL9' 'PDE4DIP' 'S100A7'
 'NTRK1' 'FCRL4' 'PRCC' 'DDR2' 'PBX1' 'PRRX1' 'BTG2' 'MDM4' 'ELK4'
 'SLC45A3']"
MMS,chr1,HETD,"['ARID1A' 'LCK' 'THRAP3' 'CSF3R' 'STIL' 'NRAS' 'RBM15' 'TENT5C' 'TRIM33'
 'NOTCH2' 'ATP1A1' 'SETDB1' 'MLLT11' 'ARNT' 'TPM3' 'LMNA' 'MUC1' 'PRCC'
 'PTPRC']"
MMS,chr10,GAIN,"['KLF6' 'RET' 'NCOA4' 'PRF1' 'NUTM2B' 'NUTM2D' 'BMPR1A' 'PTEN' 'FAS'
 'CYP2C8' 'TLX1' 'TCF7L2' 'VTI1A' 'FGFR2']"
MMS,chr10,HETD,['TET1' 'CPEB3' 'NFKB2' 'SUFU' 'NT5C2']
MMS,chr11,GAIN,"['MUC6' 'NUP98' 'CARS' 'LMO1' 'RRAS2' 'MYOD1' 'LMO2' 'FEN1' 'SDHAF2'
 'CTNND1' 'NUMA1' 'EED' 'PICALM' 'FAT3' 'DDX10' 'POU2AF1' 'ZBTB16'
 'ARHGEF12' 'KCNJ5' 'FLI1']"
MMS,chr11,HETD,"['HRAS' 'NUP98' 'DDB2' 'CLP1' 'CTNND1' 'MEN1' 'MALAT1' 'PAFAH1B2' 'BCL9L'
 'FOXR1' 'CBL' 'DDX6']"
MMS,chr12,GAIN,"['KDM5A' 'ERC1' 'CCND2' 'CDKN1B' 'ETV6' 'KRAS' 'PPFIBP1' 'COL2A1' 'ACVR1B'
 'HOXC13' 'HOXC11' 'LRIG3' 'WIF1' 'HMGA2' 'BTG1' 'PTPN11' 'NCOR2']"
MMS,chr12,HETD,"['ERC1' 'CHD4' 'PTPN6' 'ZNF384' 'SMARCD1' 'ATF1' 'NACA' 'ERBB3' 'NAB2'
 'GLI1' 'DDIT3' 'STAT6' 'RAP1B' 'MDM2' 'SH2B3' 'PTPN11' 'SETD1B' 'ZCCHC8'
 'HNF1A' 'BCL7A' 'CLIP1']"
MMS,chr13,GAIN,['LHFPL6' 'FOXO1' 'CYSLTR2' 'RB1']
MMS,chr13,HETD,['ZMYM2' 'FOXO1']
MMS,chr14,GAIN,"['ARHGAP5' 'NKX2-1' 'HIF1A' 'MAX' 'RAD51B' 'GOLGA5' 'TCL1A' 'DICER1'
 'BCL11B']"
MMS,chr14,HETD,['BAZ1A']
MMS,chr15,GAIN,['NUTM1' 'BUB1B' 'KNSTRN' 'MYO5A' 'SMAD3' 'PML' 'NTRK3' 'CHD2']
MMS,chr15,HETD,['RAD51' 'KNL1' 'B2M' 'USP8' 'C15orf65' 'MAP2K1' 'CHD2']
MMS,chr16,GAIN,"['SOCS1' 'GRIN2A' 'CIITA' 'RMI2' 'ERCC4' 'SNX29' 'IL21R' 'CYLD' 'CDH1'
 'MAF' 'CBFA2T3']"
MMS,chr16,HETD,"['AXIN1' 'NTHL1' 'TSC2' 'TRAF7' 'TNFRSF17' 'SNX29' 'PALB2' 'FUS' 'CTCF'
 'FANCA']"
MMS,chr17,GAIN,"['FLCN' 'RAD51D' 'TAF15' 'MLLT6' 'CCR7' 'SMARCE1' 'ETV4' 'COL1A1' 'KAT7'
 'SPOP' 'RNF43' 'HLF' 'MSI2' 'BRIP1' 'AXIN2' 'PRKAR1A' 'CANT1' 'RNF213']"
MMS,chr17,HETD,"['YWHAE' 'USP6' 'RABEP1' 'POLR2A' 'TP53' 'PER1' 'NCOR1' 'RAD51D' 'LASP1'
 'CDK12' 'RARA' 'ERBB2' 'IKZF3' 'STAT3' 'STAT5B' 'CLTC' 'BRIP1' 'H3F3B'
 'RNF213' 'ASPSCR1']"
MMS,chr18,GAIN,['SETBP1' 'SMAD2' 'DCC' 'MALT1' 'BCL2']
MMS,chr18,HETD,['KDSR' 'BCL2']
MMS,chr19,GAIN,['CCNE1' 'CEBPA' 'CD79A' 'KLK2']
MMS,chr19,HETD,"['FSTL3' 'TCF3' 'GNA11' 'MAP2K2' 'SH3GL1' 'STK11' 'CD209' 'VAV1' 'KEAP1'
 'DNM2' 'SMARCA4' 'LYL1' 'CALR' 'PRKACA' 'DNAJB1' 'PIK3R2' 'ELL' 'JAK3'
 'CEP89' 'LSM14A' 'AKT2' 'CIC' 'BCL3' 'CBLC' 'ERCC2' 'BAX' 'ARHGAP35'
 'BCL2L12']"
MMS,chr2,GAIN,"['ALK' 'STRN' 'SIX2' 'EPAS1' 'MSH2' 'MSH6' 'BCL11A' 'DCTN1' 'TMEM127'
 'AFF3' 'RGPD3' 'ERCC3' 'CXCR4' 'ACVR2A' 'HOXD11' 'HOXD13' 'NFE2L2' 'FEV'
 'ACKR3']"
MMS,chr2,HETD,"['BIRC6' 'STRN' 'FBXO11' 'MSH6' 'REL' 'XPO1' 'PCBP1' 'RANBP2' 'SF3B1'
 'CASP8' 'CREB1']"
MMS,chr20,GAIN,['SIRPA' 'MAFB' 'TOP1' 'SRC' 'PLCG1' 'PTPRT' 'SDC4' 'NFATC2' 'GNAS']
MMS,chr20,HETD,['PTK6']
MMS,chr21,HLAMP2,['OLIG2' 'TMPRSS2' 'U2AF1' 'ERG']
MMS,chr21,HLAMP3,['RUNX1']
