chr	event	gene_name
chr10	HETD	KIF5B
chr10	HETD	ZEB1
chr13	HETD	BRCA2
chr13	HETD	CDX2
chr13	HETD	CYSLTR2
chr13	HETD	ERCC5
chr13	HETD	FLT3
chr13	HETD	FOXO1
chr13	HETD	GPC5
chr13	HETD	LATS2
chr13	HETD	LCP1
chr13	HETD	LHFPL6
chr13	HETD	NBEA
chr13	HETD	RB1
chr13	HETD	SOX21
chr13	HETD	ZMYM2
chr14	AMP	AKT1
chr14	AMP	DICER1
chr14	AMP	GOLGA5
chr14	AMP	HSP90AA1
chr14	AMP	TRIP11
chr18	HLAMP2	BCL2
chr18	HLAMP2	DCC
chr18	HLAMP2	KDSR
chr18	HLAMP2	MALT1
chr18	HLAMP2	SETBP1
chr18	HLAMP2	SMAD2
chr18	HLAMP2	SMAD4
chr18	HLAMP2	SS18
chr18	HLAMP2	ZNF521
chr19	AMP	BRD4
chr19	AMP	CALR
chr19	AMP	CD209
chr19	AMP	DNAJB1
chr19	AMP	DNM2
chr19	AMP	GNA11
chr19	AMP	JAK3
chr19	AMP	KEAP1
chr19	AMP	LYL1
chr19	AMP	MAP2K2
chr19	AMP	MLLT1
chr19	AMP	MUC16
chr19	AMP	PRKACA
chr19	AMP	SH3GL1
chr19	AMP	SMARCA4
chr19	AMP	TPM4
chr19	AMP	VAV1
chr19	HETD	ARHGAP35
chr19	HETD	BAX
chr19	HETD	BCL2L12
chr19	HETD	CIC
chr19	HETD	CNOT3
chr19	HETD	ERCC2
chr19	HETD	TFPT
chr19	HETD	ZNF331
chr2	GAIN	ACSL3
chr2	GAIN	ACVR1
chr2	GAIN	ACVR2A
chr2	GAIN	AFF3
chr2	GAIN	ALK
chr2	GAIN	ASXL2
chr2	GAIN	ATIC
chr2	GAIN	BARD1
chr2	GAIN	BCL11A
chr2	GAIN	BIRC6
chr2	GAIN	CASP8
chr2	GAIN	CD28
chr2	GAIN	COL3A1
chr2	GAIN	CREB1
chr2	GAIN	CTNNA2
chr2	GAIN	CUL3
chr2	GAIN	CXCR4
chr2	GAIN	DCTN1
chr2	GAIN	DNMT3A
chr2	GAIN	EML4
chr2	GAIN	EPAS1
chr2	GAIN	ERBB4
chr2	GAIN	ERCC3
chr2	GAIN	FBXO11
chr2	GAIN	FEV
chr2	GAIN	HOXD11
chr2	GAIN	HOXD13
chr2	GAIN	IDH1
chr2	GAIN	ITGAV
chr2	GAIN	LRP1B
chr2	GAIN	MSH2
chr2	GAIN	MSH6
chr2	GAIN	MYCN
chr2	GAIN	NCOA1
chr2	GAIN	NFE2L2
chr2	GAIN	PAX3
chr2	GAIN	PAX8
chr2	GAIN	PMS1
chr2	GAIN	RANBP2
chr2	GAIN	REL
chr2	GAIN	RGPD3
chr2	GAIN	SF3B1
chr2	GAIN	SIX2
chr2	GAIN	SOS1
chr2	GAIN	STRN
chr2	GAIN	TMEM127
chr2	GAIN	WDCP
chr2	GAIN	XPO1
chr2	HETD	ACKR3
chr3	HETD	ATR
chr3	HETD	BAP1
chr3	HETD	BCL6
chr3	HETD	CACNA1D
chr3	HETD	CBLB
chr3	HETD	CCR4
chr3	HETD	CNBP
chr3	HETD	CTNNB1
chr3	HETD	EIF4A2
chr3	HETD	EPHA3
chr3	HETD	ETV5
chr3	HETD	FANCD2
chr3	HETD	FBLN2
chr3	HETD	FHIT
chr3	HETD	FOXL2
chr3	HETD	FOXP1
chr3	HETD	GATA2
chr3	HETD	GMPS
chr3	HETD	GSK3B
chr3	HETD	IGF2BP2
chr3	HETD	LPP
chr3	HETD	MAP3K13
chr3	HETD	MB21D2
chr3	HETD	MECOM
chr3	HETD	MITF
chr3	HETD	MLF1
chr3	HETD	MLH1
chr3	HETD	MUC4
chr3	HETD	MYD88
chr3	HETD	NCKIPSD
chr3	HETD	PBRM1
